tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,total_amount,trip_distance,trip_duration
2022-01-01 14:37:52,2022-01-01 14:40:20,1.0,8.3,0.6,2
2022-01-01 14:59:58,2022-01-01 15:05:37,2.0,12.25,1.5,5
2022-01-01 15:11:39,2022-01-01 15:15:38,1.0,8.3,0.8,3
2022-01-01 15:14:59,2022-01-01 15:17:45,1.0,8.55,0.9,2
2022-01-01 15:09:39,2022-01-01 15:14:07,1.0,11.76,1.65,4
2022-01-01 15:43:46,2022-01-01 15:46:07,1.0,6.3,0.2,2
2022-01-01 15:01:43,2022-01-01 15:04:55,1.0,10.56,1.24,3
2022-01-01 15:16:26,2022-01-01 15:20:03,1.0,9.96,1.05,3
2022-01-01 15:07:34,2022-01-01 15:11:03,1.0,8.8,1.13,3
2022-01-01 15:37:29,2022-01-01 15:40:15,1.0,9.8,0.74,2
2022-01-01 15:53:08,2022-01-01 15:55:53,1.0,9.49,0.46,2
2022-01-01 16:44:30,2022-01-01 16:49:27,1.0,10.56,1.08,4
2022-01-01 16:22:27,2022-01-01 16:27:28,1.0,12.7,1.3,5
2022-01-01 16:19:07,2022-01-01 16:24:18,1.0,9.8,1.59,5
2022-01-01 16:11:47,2022-01-01 16:16:34,2.0,10.3,0.8,4
2022-01-01 16:37:56,2022-01-01 16:43:30,2.0,13.0,1.7,5
2022-01-01 16:41:24,2022-01-01 16:44:13,2.0,9.75,0.8,2
2022-01-01 16:41:33,2022-01-01 16:44:06,2.0,7.3,0.73,2
2022-01-01 16:53:22,2022-01-01 16:59:07,3.0,9.8,1.21,5
2022-01-01 16:37:05,2022-01-01 16:42:48,1.0,10.3,1.82,5
2022-01-01 16:11:32,2022-01-01 16:14:01,1.0,9.36,0.87,2
2022-01-01 17:16:14,2022-01-01 17:20:47,2.0,11.16,1.29,4
2022-01-01 17:37:26,2022-01-01 17:41:12,1.0,11.0,1.1,3
2022-01-01 17:56:05,2022-01-01 17:58:51,1.0,7.8,0.81,2
2022-01-01 17:26:45,2022-01-01 17:32:24,1.0,10.8,1.3,5
2022-01-01 17:00:41,2022-01-01 17:03:32,3.0,9.35,0.6,2
2022-01-01 17:16:04,2022-01-01 17:21:12,1.0,11.0,1.19,5
2022-01-01 17:17:21,2022-01-01 17:19:54,2.0,9.36,0.9,2
2022-01-01 17:01:01,2022-01-01 17:05:15,1.0,11.0,1.1,4
2022-01-01 17:47:37,2022-01-01 17:50:25,1.0,9.36,0.7,2
2022-01-01 17:36:53,2022-01-01 17:41:01,1.0,11.0,1.19,4
2022-01-01 17:30:51,2022-01-01 17:39:26,2.0,14.16,1.84,8
2022-01-01 17:47:47,2022-01-01 17:50:55,1.0,9.96,1.09,3
2022-01-01 17:19:03,2022-01-01 17:23:26,2.0,8.3,0.7,4
2022-01-01 17:20:39,2022-01-01 17:26:36,1.0,10.3,1.03,5
2022-01-01 17:01:01,2022-01-01 17:06:54,1.0,11.3,1.21,5
2022-01-01 18:24:40,2022-01-01 18:32:09,0.0,12.95,1.5,7
2022-01-01 18:41:14,2022-01-01 18:56:22,2.0,18.96,2.85,15
2022-01-01 18:01:01,2022-01-01 18:05:02,1.0,9.3,0.92,4
2022-01-01 18:52:42,2022-01-01 18:55:21,1.0,9.36,0.78,2
2022-01-01 18:12:12,2022-01-01 18:14:43,1.0,7.3,0.5,2
2022-01-01 18:05:19,2022-01-01 18:13:06,1.0,12.8,1.91,7
2022-01-01 18:14:14,2022-01-01 18:21:48,1.0,13.56,1.68,7
