,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
74,1,2022-01-01 00:30:35,2022-01-01 00:46:45,4.0,3.6,1.0,N,50,151,2,13.5,3.0,0.5,0.0,0.0,0.3,17.3,2.5,0.0
75,1,2022-01-01 00:51:26,2022-01-01 00:58:25,2.0,1.0,1.0,N,238,239,2,6.5,3.0,0.5,0.0,0.0,0.3,10.3,2.5,0.0
76,1,2022-01-01 00:34:34,2022-01-01 01:08:45,2.0,20.7,2.0,N,132,236,1,52.0,3.75,0.5,11.3,0.0,0.3,67.85,2.5,1.25
77,1,2022-01-01 00:25:31,2022-01-01 00:34:07,1.0,1.3,1.0,N,249,107,1,7.5,3.0,0.5,2.8,0.0,0.3,14.1,2.5,0.0
78,1,2022-01-01 00:36:02,2022-01-01 00:46:06,3.0,2.5,1.0,N,107,141,1,10.0,3.0,0.5,2.75,0.0,0.3,16.55,2.5,0.0
79,2,2022-01-01 00:05:26,2022-01-01 00:29:05,1.0,4.56,1.0,N,50,79,1,18.5,0.5,0.5,4.46,0.0,0.3,26.76,2.5,0.0
80,2,2022-01-01 00:32:36,2022-01-01 00:36:56,1.0,0.5,1.0,N,79,148,1,4.5,0.5,0.5,1.49,0.0,0.3,9.79,2.5,0.0
81,2,2022-01-01 00:39:46,2022-01-01 00:46:16,1.0,0.68,1.0,N,148,148,2,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5,0.0
82,2,2022-01-01 00:49:40,2022-01-01 00:57:16,1.0,0.81,1.0,N,148,45,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
83,2,2022-01-01 00:11:20,2022-01-01 00:28:44,1.0,4.08,1.0,N,238,168,2,15.5,0.5,0.5,0.0,0.0,0.3,19.3,2.5,0.0
84,2,2022-01-01 00:49:45,2022-01-01 01:06:38,1.0,1.97,1.0,N,239,48,2,11.5,0.5,0.5,0.0,0.0,0.3,15.3,2.5,0.0
85,2,2022-01-01 00:06:28,2022-01-01 00:14:17,4.0,1.91,1.0,N,166,238,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0
86,2,2022-01-01 00:17:11,2022-01-01 00:36:10,4.0,5.51,1.0,N,239,243,1,19.0,0.5,0.5,4.56,0.0,0.3,27.36,2.5,0.0
87,2,2022-01-01 00:47:55,2022-01-01 00:52:56,4.0,1.1,1.0,N,166,238,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
88,2,2022-01-01 00:55:16,2022-01-01 01:06:44,4.0,1.93,1.0,N,238,262,1,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5,0.0
89,1,2022-01-01 00:05:57,2022-01-01 00:32:31,1.0,11.1,1.0,N,132,61,1,33.0,1.75,0.5,7.1,0.0,0.3,42.65,0.0,1.25
90,2,2022-01-01 00:56:12,2022-01-01 00:58:28,2.0,0.77,1.0,N,263,141,1,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5,0.0
91,2,2022-01-01 00:58:27,2022-01-01 01:23:12,1.0,16.75,1.0,N,132,112,1,45.5,0.5,0.5,9.61,0.0,0.3,57.66,0.0,1.25
92,2,2022-01-01 00:00:44,2022-01-01 00:08:54,1.0,2.17,1.0,N,263,233,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0
93,2,2022-01-01 00:11:39,2022-01-01 00:36:04,1.0,5.43,1.0,N,233,7,1,20.5,0.5,0.5,10.94,0.0,0.3,35.24,2.5,0.0
94,1,2022-01-01 00:13:35,2022-01-01 00:25:52,1.0,2.0,1.0,N,142,238,2,10.0,3.0,0.5,0.0,0.0,0.3,13.8,2.5,0.0
95,1,2022-01-01 00:32:27,2022-01-01 00:39:38,3.0,1.0,1.0,N,239,238,1,6.5,3.0,0.5,2.05,0.0,0.3,12.35,2.5,0.0
96,1,2022-01-01 00:43:15,2022-01-01 01:01:35,1.0,7.6,1.0,N,238,153,1,24.0,3.0,0.5,0.0,0.0,0.3,27.8,2.5,0.0
97,2,2022-01-01 00:15:35,2022-01-01 00:20:49,2.0,0.88,1.0,N,233,229,2,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5,0.0
98,2,2022-01-01 00:32:24,2022-01-01 00:34:54,1.0,0.63,1.0,N,233,137,1,4.0,0.5,0.5,1.0,0.0,0.3,8.8,2.5,0.0
99,2,2022-01-01 00:40:45,2022-01-01 00:47:22,1.0,1.14,1.0,N,170,229,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
